Name,Category,Followers,Description
DataSoft Systems Bangladesh Limited,IT Services and IT Consulting • Dhaka,47K followers,"DataSoft Systems Bangladesh Limited  A next-gen software, logistics and automation company with more than two decades of experience in large-scale projects transforming the technological landscape of Bangladesh. We leverage our expertise in Artificial Intelligence, Internet of Things (IoT), Augmented Reality & Virtual..."
naztech Inc,"IT Services and IT Consulting • New York, US",9K followers,"naztech Inc is your agile technology partner providing next-generation digital transformation; specializing in the design, development, and delivery of innovative and robust, business-critical software systems.  Helping customers automate their processes by delivering complex solutions quickly and efficiently..."
Cefalo Bangladesh Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",29K followers,"Cefalo is a Norway-based software development and IT service provider company with its development center in Dhaka, Bangladesh, and headquarters in Oslo..."
Bangladesh IT,Software Development • Dhaka,44 followers,• Specialties: Software Developer
NapTech Labs,"Software Development • Southampton, England",7K followers,"NapTech Labs Limited United Kingdom and Bangladesh based Software company in house development and publishes Games and Apps. Our focus is on creating innovative real-life solutions through the latest smart technology for Mobile, Tablet, PC, & Web platforms. At NapTech Labs, our primary focus is mobile game industries..."
Tikweb Bangladesh,"IT Services and IT Consulting • Aftabnagar, Dhaka",8K followers,"Welcome to Tikweb, the Danish venture studio that's pushing the boundaries of innovation in the software development industry.   We are a team of forward..."
TETON,"Information Technology & Services • Cupertino, California",5K followers,"Digitally yours, in a better way • Specialties: Software & Web Development"
HRS Hospitality & Retail Systems,"IT Services and IT Consulting • Düsseldorf, North Rhine-Westphalia",107K followers,"..., golf courses, and spas.  We take great pride in being a globally recognized hospitality software development company and with a presence in over 90 countries..."
Infobip,"IT Services and IT Consulting • London, England",332K followers,"Infobip is a global leader in omnichannel engagement powering a broad range of messaging channels, tools and solutions for advanced customer engagement..."
BJIT,"Outsourcing and Offshoring Consulting • Dhaka, Dhaka",55K followers,BJIT is a global leader in offshore software development and IT outsourcing services. With a team of 750+ engineers and developers it is one of the biggest IT...
Vivasoft Limited,"Software Development • Dhaka, DHAKA",41K followers,"...services—Team Augmentation, MVP, Offshore Office Expansion, and End to End Software Development—Vivasoft Ltd. is prepared to move businesses of any size from..."
AKIJ iBOS Limited,"Information Technology & Services • Lalmatia, Dhaka",39K followers,AKIJ iBOS Limited is a global software development and IT services company that provides customized software development solutions backed by innovative...
Enosis Solutions,Software Development • Dhaka,37K followers,"Enosis is a premier provider of software development and testing services. Having talented software engineers on board, we craft compelling web, desktop..."
Brain Station 23,Software Development • Dubai,95K followers,"Brain Station 23 is a homegrown software development company providing state-of-the-art software & IT solutions for fintech, telco, eCommerce, pharma..."
Walton Digi-Tech Industries Limited,IT Services and IT Consulting • Bangladesh,57K followers,"Walton is the latest multinational electrical, electronics, automobiles and other appliances brand with one of the largest well equipped R & D facilities in the world carried out its production through different subsidiaries under the banner of Walton group headquarters in Bangladesh.  Walton Digi-Tech Industries Ltd..."
Online HR bd,Staffing and Recruiting • Dhaka,84K followers,Welcome to Online HR BD of Bangladesh.  Why increasing expenses having dedicated HR for your company? Here we are providing various kind of Human Resource support online.  Our Services :  * Recruitment and Head Hunting * Payroll Processing * Performance Management * Training & Development * HR Policy Development * HR...
WellDev,"Software Development • Zurich-Airport, Zurich",36K followers,...Web Development ⚡Oracle Apex Application Development ⚡Python Flask/FastAPI Application Development ⚡IOT solutions development with Hardware Software Integration...
IBCS-Primax Software Bangladesh Ltd.,"Software Development • Dhaka, Dhaka",5K followers,IBCS- PRIMAX Software (Bangladesh) Ltd. is a CMMI level  – 3 and ISO 9001: 2000 certified company inaugurated in 1989 is primarily an Oracle software...
Riseup Labs,IT Services and IT Consulting • Dhaka,27K followers,"...Services (RD).  Our specialties include AI & ML, Network Operation, Software Development, Blockchain Development, Metaverse Development, Game Development..."
RedDot Digital Limited,"IT Services and IT Consulting • Bangabandhu Hi Tech City, Kaliakair, Gazipur, Dhaka",24K followers,"...products. Our headquarters and development centers are based in Bangladesh, but our team works globally, dedicated to driving your success no matter where they are..."
BPC,Software Development • Baar,56K followers,"Founded in 1996, BPC is a proven industry leader that is shaping the world of transactions with quick, safe and easy payment processing. With a focus on exceptional technology development and customer service, BPC helps financial institutions and businesses to deliver innovative and best-in-class proven solutions that..."
Portonics Limited,IT Services and IT Consulting • Dhaka,23K followers,"PORTONICS is a team of technology consultants that specializes in web development, software development, social media, online marketing, and branding on..."
Tech One Global Ltd,"IT Services and IT Consulting • Colombo 05, Western Province",26K followers,"...Solutions provider in Asia. In addition, it has scanned over 1 billion pages globally.   We are a leader in digital transformation. For over a decade, Tech One..."
Cefalo,IT Services and IT Consulting • Oslo,29K followers,"...providing software development-, web development-, integration- and maintenance teams. We also provide customers with technical advisement and project management. Cefalo is present in Oslo (Norway) and Dhaka (Bangladesh).  Our competence include; *Project Management *Scrum Masters *Software Architects *Programmers..."
LEADS Corporation Limited,"Information Technology & Services • Dhaka, Dhaka",19K followers,...products and solutions:  Products: 1. BankUltimus - Core Banking Software 2. BlueChip - Brokerage Back Office Management Software 3. mBank – Merchant Banking Software 4. InsurSoft – Life Insurance Management Software 5. CenterPoint – Enterprise Resource Planning (ERP) Software 6. VerifID - Digital Onboarding & EKYC 7...
Craftsmen,"IT Services and IT Consulting • Dhaka, Dhaka",19K followers,"Craftsmen is a reliable software team extension partner and software development service provider in the Nordic region. With significant experience in this industry, we've consistently upheld standards of quality and innovation. Our team of 85+ skilled professionals operates from our headquarters in Dhaka, Bangladesh..."
EWN Bangladesh Limited,"IT Services and IT Consulting • Dhaka, Dhaka",5K followers,"At EWN Bangladesh, we’re building software solutions for businesses. With a special focus on startups and small businesses, we excel at ensuring efficient and optimum user experiences. Empowered by an evolving team, EWN leadership welcomes partnering opportunities for ideas of tomorrow."
M2SYS Technology,"IT Services and IT Consulting • Atlanta, GA",4K followers,"...technology for their needs. Our core focus is identity management in workforce management, healthcare and large government projects together with a unique biometric software development kit (SDK) that allows developers to instantly add biometric recognition to any software application. Our technology accelerates..."
Spring Rain Pvt Ltd,"IT Services and IT Consulting • Dhaka, Dhaka",23K followers,"Our Vision: Inspire and enable businesses to accelerate and bring ideas to life through technology and software development, maximizing the potential of all stakeholders – clients, partners and employees.​  Our Values: - Passion​ - Curiosity​ - Integrity​ - Hunger​ - Deadline​"
SEOPage1,"IT Services and IT Consulting • Dhaka, Dhaka",16K followers,"SEOPage1 was launched in 2012, initially as a content writing agency headquartered in Dhaka, Bangladesh. Throughout the years, our company has transformed into a digital marketing agency. Our comprehensive services cover all facets of SEO, online marketing, content writing, and web development. We help our clients in..."
OnnoRokom Software Ltd.,"Software Development • Dhaka, Dhaka",3K followers,"OnnoRokom Software Ltd. is one of the fastest growing software companies in Bangladesh. We started our journey with web application, desktop application..."
Mediusware Ltd.,"IT Services and IT Consulting • Dhaka, Bangladesh",13K followers,"Mediusware Ltd., established in 2015, is a trailblazing IT solutions provider headquartered in Bangladesh, with a global footprint spanning the United States..."
Flyte Solutions Ltd.,"Software Development • Gulshan-1, Dhaka",13K followers,"Flyte Solutions is a client Oriented Custom software development company Provide Strategic Solutions for Building ROI Driven Software Development, Web & Mobile Application Development Services within your budget. We help Startup, SMBS & Large Enterprise building Cost-effective Custom Software products.  OUR EXPERTISE..."
Job Circular Alert,Staffing and Recruiting • Dhaka,83K followers,Career | Development | Vacancy| Announcement| Job | Circular | Alert | CV | Resume
Soft BD Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",13K followers,"...and experience hands to offer most user friendly customized solutions. Soft BD Ltd. provides high quality on site services for software development and the end users on a broad range of hardware & software platforms and latest technologies. Within these years of its operations, Soft BD Ltd. has carved a niche for itself in..."
Enterprise Analytics,IT Services and IT Consulting • Cambridge,11K followers,We are an award-winning ERP and software development company at the forefront of delivering transformative digital solutions to businesses around the world. As...
Genese Solution,"IT Services and IT Consulting • Plymouth, England",12K followers,"Genese Solution is a technology service company leading digital transformation with roots in Cloud Computing, Cloud Native Software Development & Cloud Security.  We are recognized by large tech leaders like Amazon, Google, Zoom, HubSpot, Nagios & more as their authorized service providers in various countries around..."
Nascenia,Software Development • Dhaka,14K followers,...winner 2015 and 2014 - 2013 Red Herring top 100 Asia winner - 2012 Red Herring top Asia finalist - eAsia ( www.e-asia.org ) award winner in 2011 - Grameen Phone - Microsoft Alo Asbei award winner in 2010
Data Template,"IT Services and IT Consulting • Bangalore, Karnataka",12K followers,"...), ISO/IEC 27701:2019(PIMS) company established in 2011, headquartered in Bangalore, India & Cincinnati, Ohio. We are a software development services company..."
SSL Wireless,IT Services and IT Consulting • Dhaka,42K followers,Software Shop Limited (SSL Wireless) started its journey in 1999 as an associated company of one of the biggest garments exporting groups in Bangladesh...
Coats Digital,IT Services and IT Consulting • Bristol,13K followers,"Coats Digital is a global provider of specialist, cloud-based software solutions for the apparel industry."
Analyzen,"Advertising Services • Dhaka, Dhaka",11K followers,"Analyzen, a dream that started as a software development company in the University dormitories in 2008 by two young graduating students Sumit Saha and Ridwan..."
Smart Technologies (BD) Ltd,IT Services and IT Consulting • Dhaka,18K followers,"About Smart     Smart Technologies (BD) Ltd  (STBL) is one of the leading technology distributing companies in Bangladesh. Since the inception of the journey in 1998, STBL is driving to gather immense reputation in distribution of IT product & services through the nationwide business partners. STBL always treats..."
Finetech Consultancy,"IT Services and IT Consulting • Colombo, Western Province",11K followers,"We are a cloud based solutions specialist based in Colombo with operations in Bangladesh, Maldives and Singapore. We understand the pressing technology..."
Amar iSchool,"E-learning • Dhaka, Bangladesh",2K followers,"Amar iSchool is an outcome-based educational platform in Bangladesh which works as a CaaS model for undergraduate, graduate and polytechnic students. We aim to reduce the skill gap to prepare learners in the global workforce for economic opportunities like jobs and freelancing work."
Kolpolok Limited,Software Development • Dhaka,9K followers,Kolpolok Limited is an ISO: 9001: 2015 certified mobile app and software development company specializing in various VPN protocols and Odoo ERP solutions. We...
Bangladesh National Digital Architecture (BNDA),Government Administration • Dhaka,34 followers,"The Bangladesh Computer Council (BCC) is one of the apex bodies of the GoB that has been instrumental in carving the path for the development of e-Governance in Bangladesh over the last two decades. At present, the BCC is in the process of determining the potential success of e-Governance in Bangladesh through..."
Streams Tech Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",10K followers,Streams Tech Ltd is an ISO 9001:2015 certified company. Streams Tech Ltd(STL) is a software development company providing full-cycle software engineering...
Insightin Technology Bangladesh Ltd.,"IT Services and IT Consulting • Banani, Dhaka",5K followers,"Headquartered in Baltimore, Maryland, Insightin | Technology (formerly desme BD) is an industry leading web application and software development center located in Dhaka, Bangladesh.  The company employs Software Engineers, UX Engineers, Digital Strategists, and Data Scientists.  The company is the back-office..."
Bit Mascot (Pvt.) Ltd.,"Information Technology & Services • Dhaka, Dhaka",9K followers,Expert Companion to Your Digital Intelligence • Specialties: Software Development
Pakiza Software Ltd,"Software Development • Dhanmondi, Dhaka",4K followers,"...consisting of 20 experts., the development team of 25 immaculate, experienced, and dynamic coders, 10 experts in system and business process for customer care, 08..."
Skylark Soft Limited [SLS],"IT Services and IT Consulting • Mirpur DOHS, Dhaka",9K followers,"Skylark Soft, a software company specializes in garments/apparels/textile industry software solutions for large, medium and small enterprises. It's HQ is located in Dhaka, Bangladesh."
AtZ Technology,"IT Services and IT Consulting • Atlanta, Georgia",3K followers,"We are a managed IT service and Product Development Company. We provide Website design, Mobile App, Software, IOT, Game development, Cloud hosting, Big Data Process, Digital Marketing, SEO, Content, Graphics, Networking, Video & IT Training.   We Build Your Dream."
Appnap Technologies Limited,"Software Development • Dhaka, Dhaka",10K followers,"There has been a significant transformation in the IT industry of Bangladesh in the past two decades. In a relatively short period of time, the country has emerged as one of the key software exporters in South Asia. Bangladesh currently ranks 21st in IT outsourcing, business process outsourcing and software..."
Dynamic Solution Innovators Ltd.,"IT Services and IT Consulting • Dhaka, Dhaka",19K followers,"...software development services throughout the world, both at our corporate development centers and at our Client’s premises. In addition, we provide competent..."
bdCalling IT Ltd.,"Technology, Information and Internet • Dhaka, Dhaka North City",6K followers,"""A Leading IT Firm Based in Bangladesh, Empowering Global Businesses with State-of-the-Art IT Solutions!"""
Singularity Limited,"Information Technology & Services • Dhaka, Dhaka",8K followers,Unlock The Future • Specialties: Software & Applications Development
Golden Harvest InfoTech Ltd.,"Information Technology & Services • Dhaka, Dhaka",8K followers,"Founded in 2000 and headquartered in Dhaka Bangladesh, in order to help companies with their IT services & solutions. Our initial focus was providing complete information technology solutions for companies. In response to customer needs - and in order to fully cover the range of IT services, we develop customized IT..."
BluBird Interactive Ltd.,"Information Technology & Services • Dhaka, Dhaka",8K followers,"Software Development, Web Application Development"
Business Automation Ltd,"IT Services and IT Consulting • Dhaka, Dhaka",7K followers,"Business Automation Ltd. is a software development company established in 1998. The company’s portfolio of services includes enterprise application integration and implementation, enterprise information technology (IT) solutions, offshore development service and technical support. It offers services in the area..."
Nebula IT,"IT Services and IT Consulting • Mirpur-10, Dhaka",8K followers,Nebula IT is one of the technology-based Institutions in Bangladesh. We focus on learning and development that’s why we believe quality learning develops you...
Systems Solutions & Development Technologies (SSD-TECH),"Software Development • Dhaka, Dhaka",5K followers,"....     Systems Solutions & Development Technologies Limited (ssd-tech) is today a renowned global software development company. Since our inception in 2004, we have..."
Workspace InfoTech Limited,"Software Development • Dhaka, Dhaka",8K followers,"...services, Web development/design services and Hosting services ) not only in Bangladesh but also around the world. Workspace Infotech was formed by people who are highly experienced in Software Development and Project Management with a clear vision to provide quality software services."
Bdtask,"Software Development • Dhaka, Dhaka",8K followers,...✔️Blockchain development ✔️Website development ✔️Custom ERP Development ✔️Systems integration ✔️Custom software development ✔️Web and mobile application services...
iXora Solution Ltd.,"Software Development • Mirpur, Dhaka",8K followers,"...technical knowledge, and expertise in creating values for our global clients. iXora has been successful in attracting and retaining a wide range of customers from..."
Shadhin Lab LLC,"IT Services and IT Consulting • New York, New York",3K followers,Cloud-native applications on AWS.  Shadhin Lab was established in 2020 to serve new generation software development for cloud native applications. We are...
NexKraft,"Information Technology & Services • Dhaka, Dhaka",7K followers,"NexKraft Limited is a trusted partner and an engineering powerhouse for Software Development and Testing services. We started as a software outsourcing company in 2011, and from our inception in 2014 as a registered Limited company, we have been providing Software & IT solutions for NGO, Transport, Financial, Edutech..."
MIAKI,Software Development • Dhaka,7K followers,Delivering Innovative IT Solutions for Global Growth • Specialties: Software Development
Pristine Solutions (Pvt) Ltd,"IT Services and IT Consulting • Colombo 05, Western",7K followers,In a fast moving world Pristine Solutions combines wide Industry Experience; the latest in technology and novelty is design into information system solutions...
Neural Semiconductor Limited,"Semiconductor Manufacturing • Dhaka , Uttara Sector 3,",13K followers,"Neural Semiconductor, a concern of DBL Group, is one of the leading semiconductor companies in Bangladesh & dedicated to provide full package of Hardware Solutions and Software Solutions. We have established a VLSI Design Center based in Dhaka, Bangladesh. A marketing and customer interface office is maintained in..."
XpeedStudio,"Software Development • Dhaka, Bangladesh, Dhaka",7K followers,"XpeedStudio, a household name in the tech sphere of Bangladesh, was founded in 2013 by Ataur R with a pledge to innovate and bring groundbreaking results..."
Southtech Limited,Software Development • Dhaka,13K followers,"...to the growth of IT sectors in Bangladesh and beyond.  Since its inception, Southtech has worked in the development and sales of a number of its own software..."
EchoLogyx Ltd,"Software Development • London, London",7K followers,"EchoLogyx started with a simple idea – provide test development and QA support to the Conversion Rate Optimization teams. Now, with over 100 team members, EchoLogyx is supporting global brands and agencies in the UK, USA, Canada, Germany, France, Sweden, The Netherlands and Australia with their A/B testing development..."
BASIS,"IT Services and IT Consulting • 12 Kawran Bazar, Dhaka",12K followers,"BASIS is the national trade body for the software and IT-enabled service industry in Bangladesh. Established in 1998 with 18 charter members, we now boast over..."
SEO Expate Bangladesh Ltd.,"Software Development • Bogura, Rajshahi",838 followers,SEO Expate Bangladesh Ltd. | Web Development | Software Development | Email Marketing | SEO | SMM Services
ERA InfoTech Ltd,Software Development • Dhaka,12K followers,...Augmentation 6. Software Maintenance 7. Application Management 8. Infrastructure Management 9. Documentation Development 10. Quality Assurance and Testing 11. Product/Software Development 12. All types of Interfacing Works 13. Prototype Design and Development 14. Web Application Design and Development 15. Application...
Developer eXperience Hub,"IT Services and IT Consulting • Rajshahi, Bangladesh",10K followers,"DEVxHUB is one of the best Software, Web, and Mobile Application Development Outsourcing Companies in Asia, Bangladesh leading globally. We help to transform your idea into a digital business."
TiCON System Ltd,"Software Development • Uttara, Dhaka",7K followers,"TiCON System Ltd is an IT outsourcing and software development company, also provide some communication services and consultancy. Our company registered in Korea & Bangladesh.    Since 2007 we craft technologies and specialize in implementing technologies; We expertly develop your customized technological solution..."
REVE IT,"IT Services and IT Consulting • Dhaka, Dhaka",6K followers,"Welcome to REVE IT | The Leading IT | Dynamic - Web Design | Web Development | Custom Software | Exclusive Graphics Company from Bangladesh. REVE IT is a Revelation BD Company. We always focus on High quality work, secure platform and lowest expense possible. Our Web Development Team is working hard as possible..."
Smart Software Ltd.,"Software Development • Dhaka, Panthapath",1K followers,Smart Software Ltd. is a Software & Web development company of Bangladesh that operates globally in the international market. Our Intention is to provide fully...
Rexoit,"Software Development • Dhaka, Dhaka",6K followers,"REXOIT is one of the leading software company in Bangladesh. We provide a wide variety of Software Development & information technology services, including ERP..."
VISER X,"IT Services and IT Consulting • Dhaka, Dhaka",6K followers,"VISER X is a global information technology, software development and digital marketing agency.   VISER X is a 360-degree IT company with all-round expertise and highly professional team members. Our holistic marketing strategies will help any businesses to grow online. Our development services include software..."
RoBenDevs,"Technology, Information and Internet • Dhaka",7K followers,"RoBenDevs is a fast-growing company based in Bangladesh where we are dedicated to developing innovative solutions that meet the needs of today's ever-changing technological landscape. As a young and dynamic team, we strive to stay ahead of the curve and make a real impact in the industry.  Our core focus is on..."
ZAAG SYSTEMS,"Software Development • Dhaka, Dhaka",6K followers,"...offer a wide range of services to meet your specific needs. From web and mobile app development to CMS development and e-commerce solutions, our experienced team can guide you through every step of the product development lifecycle. We believe in putting our clients first and work tirelessly to ensure your success..."
Automation Solutionz,"Software Development • Waterloo, Ontario",5K followers,"100% no-code, AI-powered, E2E software test automation framework for web, mobile, cloud, API, desktop, IoT with CI/CD+ • Specialties: Software Development Solution Provider"
Midas Software Solutions LTD,"IT Services and IT Consulting • Dhaka, Dhaka",2K followers,"Midas Software solutions LTD is an IT Consulting, Product, and Services company. Our area of business varies in providing expert Consulting Services..."
BaryTech,"IT Services and IT Consulting • Berlin, Berlin",5K followers,"...with the name BaryTech. It is headquartered in Berlin, Germany including offices in India, Bangladesh and UK. It specialises in IT services and consulting.  BaryTech..."
Opus Technology Limited,"Information Technology & Services • Dhaka, Dhaka",5K followers,Opus Technology Limited is a leading software development and IT solutions company based in Bangladesh. The company was founded in 2012 and has since been...
Softzino Technologies,"IT Services and IT Consulting • Dhaka, Dhaka",5K followers,"Mobile applications and software development company, with more than 50+ successful projects we know what it takes to build great products."
Audacity IT Solutions Limited,"Software Development • Surrey, British Columbia",6K followers,"“Audacity IT Solutions Limited” is a software development company in Bangladesh, providing enterprise & customized web applications and mobile software..."
Virtual Assistant,"Marketing Services • Netrokona, Netrokona",5K followers,"It is a one of the World Local Digital Marketing Solution based in Bangladesh. According to client satisfactory speech, it's a one of the best one stop online marketing solution in the Globe.  Also, it's called one stop complete virtual solution for Mobile, Web and Desktop software. Multi award winning DMS..."
Innovative IT Park,IT Services and IT Consulting • Tangail,5K followers,"...& Development, SEO, Mobile App Development, Software Development &  Professional IT Training  Thank you very much for visiting our page. Stay with us."
aamra companies,"IT Services and IT Consulting • Dhaka, Dhaka",6K followers,aamra is a family of businesses focused towards participating in the modernization of Bangladesh by providing technology driven solutions. aamra holds...
Battery Low Interactive Ltd.,"Information Technology & Services • Baridhara, Dhaka",5K followers,...development has been the area of most effectiveness and likelihood. We are the first company in Bangladesh to bring the real feel of Virtual Reality Technology in a...
Dcastalia Limited,IT Services and IT Consulting • Dhaka,5K followers,Decastalia Limited embarked its journey in 2009 and has since become a prominent and leading software development company in Bangladesh.   Throughout our years...
Wafi Solutions,"Software Development • Mohakhali DOHS, Dhaka",5K followers,"Wafi Solutions serves an abundant number of happy clients, both local and international; the number increasing each day, and the company is ensuring impeccable service with complete integrity and utmost quality. With the uprise in clients, the team of Wafi Solutions is, hence, there is a demand for Software Developers..."
DataPath Ltd.,Outsourcing and Offshoring Consulting • Dhaka,4K followers,Data Path Ltd. is a private limited Outsourcing company operating in Bangladesh.
Project Code,"Higher Education • Dhaka, Dhaka",5K followers,"...program in Bangladesh. We will use the exact same curriculum, course content, campus learning platforms and technology as the ones being used in Codeworks' own..."
Arbeit Group,Telecommunications • Kuala Lumpur,5K followers,"...achieve enviable success in their business. Our forte lies in delivering goal-based software, engineering, and operations services for our clients across..."
Mediasoft Data Systems Limited,"Software Development • Dhaka, Dhaka",5K followers,"We focus on delivering the best and most cost-effective software solutions to our clients in areas such as Retail, Restaurant, Sales & Distribution, health care etc combining proven expertise in technology  and domain expertise. We have delivered a wide range of customers on the retail industries with Point of Sales..."
Advanced Software Development,"Software Development • Dhaka, None (International)",1K followers,"Transform your business with the power of technology by partnering with Advanced Software Development, a leading software development company in Bangladesh..."
SalesHub,"IT Services and IT Consulting • Marietta, Georgia",2K followers,"All-in-one Salesforce consulting, development, and solutions platform for enterprises"
Nexalinx,"IT Services and IT Consulting • New York, New York",2K followers,"...of services includes software development, web design, mobile app development, cloud computing, artificial intelligence, and blockchain solutions. With a focus on..."
